Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
ANJA SCHAUL,ANJA SCHAUL,,,,,,,,,,
LA PLAINE DU MOULIN,LA PLAINE DU MOULIN,,,,,,,,,,
LES P'TITS LIGERIENS,LES P'TITS LIGERIENS,,,,,,,,,,
LES BATELIERS,LES BATELIERS,,,,,,,,,,
ECOLE SAINT-PIERRE DES JARDINS,SAINTPIERRE DES JARDINS,,,,,,,,,,
JULIA ET RENE LAMPS,JULIA ET RENE LAMPS,,,,,,,,,,
SAINTE EMERANCE,Émérance,,Statue-ste-emerance.jpg,,,,,,féminin,,
LA SARRA,LA SARRA,,,,,,,,,,
FELIX LANDREAU,Félix Landreau,,,français,Angers,Longué-Jumelles,poète ou poétesse,France,masculin,1903-01-18T00:00:00Z,1966-03-11T00:00:00Z
SAINT-LEU,SAINTLEU,,,,,,,,,,
RENANCOURT,RENANCOURT,,,,,,,,,,
ST LOUIS-ST JOSEPH A,ST LOUISST JOSEPH A,,,,,,,,,,
RPID 3 MONTSOREAU,RPID 3 MONTSOREAU,,,,,,,,,,
JEAN-CLAUDE FOURQUEZ,JEANCLAUDE FOURQUEZ,,,,,,,,,,
ST RENE GOUPIL,ST RENE GOUPIL,,,,,,,,,,
HAUTE FOY,HAUTE FOY,,,,,,,,,,
MAREMAILLETTE,MAREMAILLETTE,,,,,,,,,,
SAINT-LOUIS A,SAINTLOUIS A,,,,,,,,,,
NICOLAS CONDORCET,NICOLAS CONDORCET,,,,,,,,,,
ALFRED MANESSIER,Alfred Manessier,,Alfred Manessier.1971.jpg,,Orléans,Saint-Ouen,artiste peintre,France,masculin,1911-12-05T00:00:00Z,1993-08-01T00:00:00Z
ST AMAND-STE MARIE,ST AMANDSTE MARIE,,,,,,,,,,
DE L'ATRIUM,DE L'ATRIUM,,,,,,,,,,
LES TROIS ARBRES,LES TROIS ARBRES,,,,,,,,,,
DANIEL FERY,Daniel Féry,,,,Paris,,apprenti ou apprentie,France,masculin,,1962-02-08T00:00:00Z
FELICIEN JOLY,Félicien Joly,,Joly felicien-15e5d.png,,citadelle de Lille,Escaudain,instituteur ou institutrice,France,masculin,1919-12-28T00:00:00Z,1941-11-15T00:00:00Z
LA CHAUSSIETTE,LA CHAUSSIETTE,,,,,,,,,,
SAINTE ALDEGONDE,Aldegonde de Maubeuge,,"H. Aldegondis van Maubeuge, RP-P-1904-365.jpg",,Maubeuge,Cousolre,religieuse,,féminin,0639-01-01T00:00:00Z,0684-01-30T00:00:00Z
GPE 1 ELYSEE MAURY,GPE 1 ELYSEE MAURY,,,,,,,,,,
LE SEGUELA,LE SEGUELA,,,,,,,,,,
HENRI CAZALE,HENRI CAZALE,,,,,,,,,,
GELLES,GELLES,,,,,,,,,,
LIOUJAS,LIOUJAS,,,,,,,,,,
JEAN AUZEL,JEAN AUZEL,,,,,,,,,,
DU ROC NANTAIS,DU ROC NANTAIS,,,,,,,,,,
SAINT-VIATEUR,SAINTVIATEUR,,,,,,,,,,
SAINTE-MARIE-DES-PRES,SAINTEMARIEDESPRES,,,,,,,,,,
LES HAUTS DU VIAUR,LES HAUTS DU VIAUR,,,,,,,,,,
ST-JULIEN DE PIGANIOL,STJULIEN DE PIGANIOL,,,,,,,,,,
CONCOURES,CONCOURES,,,,,,,,,,
DES BALMETTES,DES BALMETTES,,,,,,,,,,
JEAN LOUIS AUBERT,JEAN LOUIS AUBERT,,,,,,,,,,
PASTEUR NORD,PASTEUR NORD,,,,,,,,,,
LE MEYNET ELEMENTAIRE,LE MEYNET,,,,,,,,,,
LES GAYOTTES MATERNELLE,LES GAYOTTES,,,,,,,,,,
BD JACQUARD MATERNELLE,BD JACQUARD,,,,,,,,,,
ST JUST EN DOIZIEUX,ST JUST EN DOIZIEUX,,,,,,,,,,
CHARLES PERRAULT PRIMAIRE,Charles Perrault,littérature française,Portrait de Charles Perrault par Charles Le Brun (détail).jpg,français,Paris,Paris,écrivain ou écrivaine,royaume de France,masculin,1628-01-12T00:00:00Z,1703-05-16T00:00:00Z
EVENOR LUCAS,EVENOR LUCAS,,,,,,,,,,
CENTRE SAINT PHILIPPE,SAINT PHILIPPE,,,,,,,,,,
MORNE BALAI,MORNE BALAI,,,,,,,,,,
LAURENCE MARIE-MAGDELEINE,LAURENCE MARIEMAGDELEINE,,,,,,,,,,
EXTERNAT NOTRE DAME DE REDOUTE,EXTERNAT NOTRE DAME DE REDOUTE,,,,,,,,,,
MORNE VANNIER,MORNE VANNIER,,,,,,,,,,
GASPALDI - BELEME,GASPALDI  BELEME,,,,,,,,,,
ILET SIXTAIN,ILET SIXTAIN,,,,,,,,,,
ST-PIERRE B - L.PHILEMOND-MONT,STPIERRE B  L.PHILEMONDMONT,,,,,,,,,,
P.P.F. LABATTOIR,P.P.F. LABATTOIR,,,,,,,,,,
EEPU SAINT OST,EEPU SAINT OST,,,,,,,,,,
KANGANI,KANGANI,,,,,,,,,,
MARC CASTEX,Marc Castex,,,français,Vic-Fezensac,Marambat,personnalité politique,France,masculin,1914-09-13T00:00:00Z,2002-05-17T00:00:00Z
FOUNDI BAZOUROUDJA,FOUNDI BAZOUROUDJA,,,,,,,,,,
MADI HALIDI,MADI HALIDI,,,,,,,,,,
MTSAHARA PLAGE MATERNELLE,MTSAHARA PLAGE,,,,,,,,,,
PAMANDZI 6,PAMANDZI 6,,,,,,,,,,
MANGAJOU,MANGAJOU,,,,,,,,,,
HASSANI HALIFA (TSINGONI 1),HASSANI HALIFA (TSINGONI 1),,,,,,,,,,
GROUPE DOCTEUR DERRIEN,GROUPE DOCTEUR DERRIEN,,,,,,,,,,
PIERRE-PAUL RIQUET,PIERREPAUL RIQUET,,,,,,,,,,
LES 4 COLLINES,LES 4 COLLINES,,,,,,,,,,
LES MONGES,LES MONGES,,,,,,,,,,
LOUIS LE CHATELIER,LOUIS LE CHATELIER,,,,,,,,,,
CENTRE 2 MATERNELLE,2,,,,,,,,,,
ZOLA PASTEUR ELEMENTAIRE,ZOLA PASTEUR,,,,,,,,,,
ANTOINE LEPELTIER,Antoine Lepeltier,,,,Saint-Germain-sur-Ay,Fontaine-Étoupefour,personnalité politique,France,masculin,1933-03-20T00:00:00Z,1998-05-21T00:00:00Z
EPC SACRE COEUR,EPC SACRE COEUR,,,,,,,,,,
FERVAQUES,FERVAQUES,,,,,,,,,,
PIOTIERE MATERNELLE,PIOTIERE,,,,,,,,,,
JEAN BOISARD,JEAN BOISARD,,,,,,,,,,
LA COUR BEAULIEU,LA COUR BEAULIEU,,,,,,,,,,
R ROBIN MATERNELLE,R ROBIN,,,,,,,,,,
METARE B.MARCET MATERNELLE,METARE B.MARCET,,,,,,,,,,
BEAUVALLON MATERNELLE,BEAUVALLON,,,,,,,,,,
EMPU CAHORS H THAMIER,EMPU CAHORS H THAMIER,,,,,,,,,,
JEAN MARCENAC,Jean Marcenac,,,français,Sainte-Feyre,Figeac,personnalité politique,France,masculin,1913-11-16T00:00:00Z,1984-05-14T00:00:00Z
RAYMOND AURIERES,RAYMOND AURIERES,,,,,,,,,,
EEPU LE BOULVE,EEPU LE BOULVE,,,,,,,,,,
COTE MATERNELLE,COTE,,,,,,,,,,
FERNAND CASSAN,Fernand Cassan,,,,,,prêtre catholique,France,masculin,1907-05-10T00:00:00Z,1977-01-11T00:00:00Z
CROIX HAUTE,CROIX HAUTE,,,,,,,,,,
SAINT MARTIN DES CHAFFANGEONS,SAINT MARTIN DES CHAFFANGEONS,,,,,,,,,,
JOANNY COLLOMB,JOANNY COLLOMB,,,,,,,,,,
BAGASSI,BAGASSI,,,,,,,,,,
JEAN PIERRE VEYET,Jean-Pierre Veyet,,,,rue Saint-Gervais,Bizonnes,instituteur ou institutrice,France,masculin,1853-10-27T00:00:00Z,1918-08-07T00:00:00Z
FRANCOIS LUCAS,FRANCOIS LUCAS,,,,,,,,,,
SAINTE-MARIE DE NEVERS,SAINTEMARIE DE NEVERS,,,,,,,,,,
JEAN GALIA,Jean Galia,,Jean galia.png,,Toulouse,Ille-sur-Têt,boxeur ou boxeuse,France,masculin,1905-03-20T00:00:00Z,1949-01-18T00:00:00Z
CLEMENT DESIRE FERARD,CLEMENT DESIRE FERARD,,,,,,,,,,
CHARLES PIERRE,CHARLES PIERRE,,,,,,,,,,
LE BEARNAIS,LE BEARNAIS,,,,,,,,,,
ECOLE DES AULNES,DES AULNES,,,,,,,,,,
JEAN NOURRISSON,Jean-Félix Nourrisson,,,,6e arrondissement de Paris,Thiers,philosophe,France,masculin,1825-07-18T00:00:00Z,1899-06-13T00:00:00Z
HANS CHRISTIAN ANDERSEN,HANS CHRISTIAN ANDERSEN,,,,,,,,,,
MICHEL PAUTHE,MICHEL PAUTHE,,,,,,,,,,
JACQUES RUEFF,Jacques Rueff,,Jacques Rueff 1938.png,,7e arrondissement de Paris,3e arrondissement de Paris,économiste,France,masculin,1896-08-23T00:00:00Z,1978-04-24T00:00:00Z
LA MARE AUTOUR,LA MARE AUTOUR,,,,,,,,,,
YVON GALAUP,YVON GALAUP,,,,,,,,,,
SIMONE ROCHEREUIL,SIMONE ROCHEREUIL,,,,,,,,,,
LE GRAND CEDRE,LE GRAND CEDRE,,,,,,,,,,
NOTRE-DAME LA MAINE,NOTREDAME LA MAINE,,,,,,,,,,
STE MARIE-ST PIERRE,STE MARIEST PIERRE,,,,,,,,,,
SAINT OUEN DES CHAMPS,SAINT OUEN DES CHAMPS,,,,,,,,,,
PIERRE BONNARD,PIERRE BONNARD,,,,,,,,,,
LE MOUSSEL,LE MOUSSEL,,,,,,,,,,
MARIE RAVENEL,Marie Ravenel,,,,Fermanville,Réthoville,poète ou poétesse,France,féminin,1811-08-21T00:00:00Z,1893-03-08T00:00:00Z
LES PETITS PONTS,LES PETITS PONTS,,,,,,,,,,
MARC CASTELNERAC,MARC CASTELNERAC,,,,,,,,,,
CHEMIN ROUGE,CHEMIN ROUGE,,,,,,,,,,
RENE BETUING,RENE BETUING,,,,,,,,,,
THIVRAS,THIVRAS,,,,,,,,,,
LIBOS,LIBOS,,,,,,,,,,
OLYMPES DE GOUGE,Olympe de Gouges,abolitionnisme,Marie-Olympe-de-Gouges.jpg,occitan,Paris,Montauban,dramaturge,France,féminin,1748-05-07T00:00:00Z,1793-11-03T00:00:00Z
ANDRE BOUDARD,ANDRE BOUDARD,,,,,,,,,,
BORN,BORN,,,,,,,,,,
CANTARELLE GROUPE SCOLAIRE PIE,CANTARELLE  PIE,,,,,,,,,,
LUCETTE ABAUZIT,Lucette Abauzit,,,,Ganges,Vauvert,,France,féminin,1906-03-29T00:00:00Z,1991-08-02T00:00:00Z
DU PRISSE,DU PRISSE,,,,,,,,,,
CLAUDE DANIEL DE LAURES,CLAUDE DANIEL DE LAURES,,,,,,,,,,
LES HIRONDELLES DU COULAZOU,LES HIRONDELLES DU COULAZOU,,,,,,,,,,
LES PETITS GRAINS,LES PETITS GRAINS,,,,,,,,,,
A.DAUDET,Alphonse Daudet,traductions de l'occitan,Alphonse Daudet 2.jpg,français,Paris,Nîmes,écrivain ou écrivaine,France,masculin,1840-05-13T00:00:00Z,1897-12-16T00:00:00Z
EVARISTE POITEVIN,EVARISTE POITEVIN,,,,,,,,,,
DU BOIS HARDY,DU BOIS HARDY,,,,,,,,,,
RAZES,RAZES,,,,,,,,,,
LOUIS LOUBET,Louis Loubet,,,,,,réalisateur ou réalisatrice,,masculin,,
SAINT HILAIRE LA TREILLE,SAINT HILAIRE LA TREILLE,,,,,,,,,,
SAINT LAURENT LES EGLISES,SAINT LAURENT LES EGLISES,,,,,,,,,,
SAINT MEARD,SAINT MEARD,,,,,,,,,,
SAINT PRIEST TAURION,SAINT PRIEST TAURION,,,,,,,,,,
VEYRAC,VEYRAC,,,,,,,,,,
GROUPE SCOLAIRE SAINT CYBARD,Cybard d'Angoulême,,Pranzac eg7b.JPG,,Angoulême,Trémolat,moine ou moniale,,masculin,0504-01-01T00:00:00Z,0581-01-01T00:00:00Z
LOUIS PRUNET,LOUIS PRUNET,,,,,,,,,,
FELIX GAILLARD,FELIX GAILLARD,,,,,,,,,,
BERNARD MALGOIRE,BERNARD MALGOIRE,,,,,,,,,,
LA CHIGNOLLE,LA CHIGNOLLE,,,,,,,,,,
SAINTE-COLOMBE-DE-PEYRE,SAINTECOLOMBEDEPEYRE,,,,,,,,,,
JEAN BASTIER,JEAN BASTIER,,,,,,,,,,
JOSEPH NEO,JOSEPH NEO,,,,,,,,,,
EDOUARD PASCAUD,EDOUARD PASCAUD,,,,,,,,,,
RELETTE,RELETTE,,,,,,,,,,
J. MOULIN,J. MOULIN,,,,,,,,,,
CAMILLE DESVERGNES,CAMILLE DESVERGNES,,,,,,,,,,
JOSIANE BAUDET-SIMMONEAU,JOSIANE BAUDETSIMMONEAU,,,,,,,,,,
MAURICE RENARD,MAURICE RENARD,,,,,,,,,,
JEAN MICHENOT,JEAN MICHENOT,,,,,,,,,,
DES COUREILLES,DES COUREILLES,,,,,,,,,,
SUZANNE CHARTIER,Suzanne Chartier,,,,,,chercheur ou chercheuse,,,,
L'AJONC ET LE ROSEAU,L'AJONC ET LE ROSEAU,,,,,,,,,,
CLAUDE BARRIER,Claude Barrière,préhistoire,,,,Périgueux,archéologue,France,masculin,1924-01-01T00:00:00Z,2011-01-01T00:00:00Z
NOIRLIEU,NOIRLIEU,,,,,,,,,,
ECOLE LA CROIX-AVRANCHIN,LA CROIXAVRANCHIN,,,,,,,,,,
ETUSSON,ETUSSON,,,,,,,,,,
LA RONDEHAYE,LA RONDEHAYE,,,,,,,,,,
RPI LA VENDELEE,RPI LA VENDELEE,,,,,,,,,,
ECOLE SAINT-JOSEPH,SAINTJOSEPH,,,,,,,,,,
A LEFILIATRE,A LEFILIATRE,,,,,,,,,,
RPI OUVILLE MONTPINCHON BELVAL,RPI OUVILLE MONTPINCHON BELVAL,,,,,,,,,,
LA RITOURN'ELLE,LA RITOURN'ELLE,,,,,,,,,,
EMILE DOUCET (TOURLAVILLE),EMILE DOUCET (TOURLAVILLE),,,,,,,,,,
POINT DU JOUR,POINT DU JOUR,,,,,,,,,,
COURTEILLE,COURTEILLE,,,,,,,,,,
SACRE COEUR (ATHIS DE L'ORNE),SACRE COEUR (ATHIS DE L'ORNE),,,,,,,,,,
ROLAND ET JEANNE RICORDEAU,ROLAND ET JEANNE RICORDEAU,,,,,,,,,,
NOTRE DAME -SAINT LOUIS,NOTRE DAME SAINT LOUIS,,,,,,,,,,
ST FRONT (DOMFRONT),ST FRONT (DOMFRONT),,,,,,,,,,
(EXMES),(EXMES),,,,,,,,,,
ALBERT BAILLY (TOUROUVRE),ALBERT BAILLY (TOUROUVRE),,,,,,,,,,
KERBERNARD,KERBERNARD,,,,,,,,,,
KERARGROAS,KERARGROAS,,,,,,,,,,
JULIEN GOUDOUT,JULIEN GOUDOUT,,,,,,,,,,
PIERRE JULIEN,Pierre Julien,,Pierre Julien sculptant le Gladiateur.jpg,,Paris,Saint-Paulien,sculpteur ou sculptrice,France,masculin,1731-06-20T00:00:00Z,1804-12-17T00:00:00Z
LES PORTES DE LA FORET,LES PORTES DE LA FORET,,,,,,,,,,
JEANNE MAGNY,JEANNE MAGNY,,,,,,,,,,
SONIA DELAUNAY-MARIE LAURENCIN,SONIA DELAUNAYMARIE LAURENCIN,,,,,,,,,,
HENRI BOULLEN,HENRI BOULLEN,,,,,,,,,,
LES CARAQUES,LES CARAQUES,,,,,,,,,,
ARSENE LUPIN,ARSENE LUPIN,,,,,,,,,,
CIGALES (LES) MAT,CIGALES (LES) MAT,,,,,,,,,,
LANZA,Domenico Lanza,botanique,,,,,avocat ou avocate,royaume d'Italie,masculin,1868-05-28T00:00:00Z,1940-01-01T00:00:00Z
LEPELTIER,LEPELTIER,,,,,,,,,,
MIRANDOLES MAT (LES),MIRANDOLES MAT (LES),,,,,,,,,,
FRANCAISE DE VINTIMILLE,FRANCAISE DE VINTIMILLE,,,,,,,,,,
MOULINET,MOULINET,,,,,,,,,,
BOIS DE BOULOGNE 1 MAT,BOIS DE BOULOGNE 1 MAT,,,,,,,,,,
ARIANE CASSIN,ARIANE CASSIN,,,,,,,,,,
TERRA AMATA MAT,TERRA AMATA MAT,,,,,,,,,,
ACACIAS MAT (LES),ACACIAS MAT (LES),,,,,,,,,,
ROMEO 1,ROMEO 1,,,,,,,,,,
FRAGONARD MAT,FRAGONARD MAT,,,,,,,,,,
COLOMBIER MARIA MATER,COLOMBIER MARIA MATER,,,,,,,,,,
GARBEJAIRE MAT,GARBEJAIRE MAT,,,,,,,,,,
BAOUS MAT (DES),BAOUS MAT (DES),,,,,,,,,,
ARTIGNOSC/VERDON,ARTIGNOSC/VERDON,,,,,,,,,,
CROIX-BLANCHE,CROIXBLANCHE,,,,,,,,,,
VIDECOQ,VIDECOQ,,,,,,,,,,
EUGENE VARLIN II,EUGENE VARLIN II,,,,,,,,,,
EDOUARD VAILLANT I,EDOUARD VAILLANT I,,,,,,,,,,
PAUL BERT II,PAUL BERT II,,,,,,,,,,
MAURICE SCHLEWITZ,MAURICE SCHLEWITZ,,,,,,,,,,
DU PONT CALLOUARD,DU PONT CALLOUARD,,,,,,,,,,
MONGIS - JULES FERRY,MONGIS  JULES FERRY,,,,,,,,,,
PIERRE TOUTAIN,Pierre Toutain,,,,Paris,Le Mans,artiste peintre,France,masculin,1645-01-01T00:00:00Z,1686-04-02T00:00:00Z
LES EMOUQUETS,LES EMOUQUETS,,,,,,,,,,
MARCEL CARTIER,MARCEL CARTIER,,,,,,,,,,
I MAILLE ET G PECOUD,I MAILLE ET G PECOUD,,,,,,,,,,
ANTOINE LAGARDE,ANTOINE LAGARDE,,,,,,,,,,
LA COUSTETTE,LA COUSTETTE,,,,,,,,,,
CORSAC,CORSAC,,,,,,,,,,
CERZAT,CERZAT,,,,,,,,,,
ST REGIS - ST MICHEL,ST REGIS  ST MICHEL,,,,,,,,,,
NOTRE DAME DU CHATEAU,NOTRE DAME DU CHATEAU,,,,,,,,,,
ABEL GRIMMER,Abel Grimmer,,,,Anvers,Anvers,artiste peintre,Pays-Bas des Habsbourg,masculin,1571-01-01T00:00:00Z,1619-09-01T00:00:00Z
SAINT-BEAUZIRE,SAINTBEAUZIRE,,,,,,,,,,
SAINT-GENEYS-PRES-ST-PAULIEN,SAINTGENEYSPRESSTPAULIEN,,,,,,,,,,
GILBERTE MONNE,GILBERTE MONNE,,,,,,,,,,
G.CHEPFER,G.CHEPFER,,,,,,,,,,
JOSEPH BOULARD,JOSEPH BOULARD,,,,,,,,,,
JEAN BAPTISTE VATELOT,Jean-Baptiste Vatelot,,Jean Baptiste Vatelot.jpg,,,Bruley,prêtre catholique,,,1688-01-01T00:00:00Z,1748-08-20T00:00:00Z
LOUIS LEMONNIER,LOUIS LEMONNIER,,,,,,,,,,
BIZALEIX,BIZALEIX,,,,,,,,,,
LE GRAND PAVOIS,LE GRAND PAVOIS,,,,,,,,,,
COSTES ET BELLONTE,COSTES ET BELLONTE,,,,,,,,,,
CAHAN - LHERMITTE,CAHAN  LHERMITTE,,,,,,,,,,
SAINT AMAND DE COLY,SAINT AMAND DE COLY,,,,,,,,,,
MAURICE ALBE,Maurice Albe,,,,Périgueux,Beaugency,artiste peintre,France,masculin,1900-01-15T00:00:00Z,1995-01-09T00:00:00Z
LES EYZIES TAYAC SIREUIL,LES EYZIES TAYAC SIREUIL,,,,,,,,,,
GROUPE SCOLAIRE P TAUZIAC,P TAUZIAC,,,,,,,,,,
RAYMOND GIMEL,RAYMOND GIMEL,,,,,,,,,,
ALBERT LAURIERE,ALBERT LAURIERE,,,,,,,,,,
LE MALEU,LE MALEU,,,,,,,,,,
LES MAURILLOUX,LES MAURILLOUX,,,,,,,,,,
JEAN EYRAUD,Jean Eyraud,,,,,,prêtre catholique,France,masculin,1823-05-10T00:00:00Z,1874-07-04T00:00:00Z
LA FOLLE AVOINE,LA FOLLE AVOINE,,,,,,,,,,
LE MOULLEAU,LE MOULLEAU,,,,,,,,,,
ALINE,Aline,,Aline at Tee Reel's Party 1.jpg,anglais,,Coos Bay,acteur ou actrice pornographique,États-Unis,féminin,1981-07-21T00:00:00Z,
ECOLE DE L'AMITIE,DE L'AMITIE,,,,,,,,,,
PAUL ANTIN,PAUL ANTIN,,,,,,,,,,
LE MIRAIL,LE MIRAIL,,,,,,,,,,
PINS FRANCS,PINS FRANCS,,,,,,,,,,
LES PETITS ECUREUILS,LES PETITS ECUREUILS,,,,,,,,,,
JEAN-PIERRE GEMIN,JEANPIERRE GEMIN,,,,,,,,,,
RICHARD CHAVERNAC,RICHARD CHAVERNAC,,,,,,,,,,
LA CAUQUENNE,LA CAUQUENNE,,,,,,,,,,
HENRY GROCELLE,HENRY GROCELLE,,,,,,,,,,
LA BOSSOTTE,LA BOSSOTTE,,,,,,,,,,
SCHAEFERHOF,SCHAEFERHOF,,,,,,,,,,
FAUBOURG  DU SOLEIL,FAUBOURG  DU SOLEIL,,,,,,,,,,
CELESTIN FREINET GR1,CELESTIN FREINET GR1,,,,,,,,,,
ROGER LEENHARDT,Roger Leenhardt,,,,6e arrondissement de Paris,Montpellier,scénariste,France,masculin,1903-07-23T00:00:00Z,1985-12-04T00:00:00Z
JURA SAINT-NICOLAS-EN-FORET,JURA SAINTNICOLASENFORET,,,,,,,,,,
INTERCOMM.HARREBERG-HOMMERT,INTERCOMM.HARREBERGHOMMERT,,,,,,,,,,
LA FLUTE ENCHANTEE,LA FLUTE ENCHANTEE,,,,,,,,,,
LOUIS BLERIOT GROUPE 2,LOUIS BLERIOT GROUPE 2,,,,,,,,,,
MAUBOUSSIN,MAUBOUSSIN,,,,,,,,,,
TERRE EN VIGNE,TERRE EN VIGNE,,,,,,,,,,
FELIX LEMAIRE,FELIX LEMAIRE,,,,,,,,,,
RPID 58 ROUESSE-VASSE/PARENNES,RPID 58 ROUESSEVASSE/PARENNES,,,,,,,,,,
RPIC 35 SAINT-AUBIN-DE-LOCQUEN,RPIC 35 SAINTAUBINDELOCQUEN,,,,,,,,,,
JOEL SADELER,Joël Sadeler,,Joël Sadeler.jpg,français,Ballon,Le Mans,poète ou poétesse,France,masculin,1938-09-12T00:00:00Z,2000-09-13T00:00:00Z
MASSIF DE PERSEIGNE,MASSIF DE PERSEIGNE,,,,,,,,,,
STE MATHILDE,STE MATHILDE,,,,,,,,,,
L'OREE DU BOIS (R.P.I.D AVEC M,L'OREE DU BOIS (R.P.I.D AVEC M,,,,,,,,,,
CHARLES PRIEUR,CHARLES PRIEUR,,,,,,,,,,
DE PUYSEGUR,DE PUYSEGUR,,,,,,,,,,
LUDWIG VAN BEETHOVEN,LUDWIG VAN BEETHOVEN,,,,,,,,,,
ARISTOTE,Aristote,philosophie,Aristotle Altemps Inv8575.jpg,,Chalcis,Stagire,philosophe,,masculin,0384-01-01T00:00:00Z,0322-01-01T00:00:00Z
LUIS DE CAMOENS,Luís de Camões,poésie,"Camões, por Fernão Gomes.jpg",,Lisbonne,Lisbonne,poète ou poétesse,royaume de Portugal,masculin,1524-12-01T00:00:00Z,1580-06-10T00:00:00Z
MARCELLIN ALBERT,Marcelin Albert,viticulture,Albert Marcelin.jpg,,Argeliers,Argeliers,viticulteur ou viticultrice,France,masculin,1851-03-29T00:00:00Z,1921-12-21T00:00:00Z
ARISTIDE BRIAND UNITE A,ARISTIDE BRIAND UNITE A,,,,,,,,,,
ANDRE PARISY,ANDRE PARISY,,,,,,,,,,
SAINT PAUL (CHERBOURG-OCTEVILL,SAINT PAUL (CHERBOURGOCTEVILL,,,,,,,,,,
SAINT LEGER,SAINT LEGER,,,,,,,,,,
LES CRAYONS DE SOLEIL,LES CRAYONS DE SOLEIL,,,,,,,,,,
RICHER,RICHER,,,,,,,,,,
NOTRE DAME DES FLOTS,NOTRE DAME DES FLOTS,,,,,,,,,,
MARCEL BAUSSAIS,MARCEL BAUSSAIS,,,,,,,,,,
LES PETITS PERUSIENS,LES PETITS PERUSIENS,,,,,,,,,,
R.P.I.D L'HERMENAULT,R.P.I.D L'HERMENAULT,,,,,,,,,,
SAINT MARTIN DURIVUM,SAINT MARTIN DURIVUM,,,,,,,,,,
LA FRADINIERE,LA FRADINIERE,,,,,,,,,,
LES PIERIDES,LES PIERIDES,,,,,,,,,,
LES AUGIERS,LES AUGIERS,,,,,,,,,,
LE GAND,LE GAND,,,,,,,,,,
CHERBOURG,CHERBOURG,,,,,,,,,,
PARC DES PRINCES,PARC DES PRINCES,,,,,,,,,,
GROS,Antoine-Jean Gros,,Gros Portrait à l'âge de vingt ans (RO 109).jpg,,Meudon,Paris,artiste peintre,France,masculin,1771-03-16T00:00:00Z,1835-06-25T00:00:00Z
J.B CLEMENT,J.B CLEMENT,,,,,,,,,,
FESSART Z,FESSART Z,,,,,,,,,,
EUGENE REISZ G,EUGENE REISZ G,,,,,,,,,,
TURENNE X,TURENNE X,,,,,,,,,,
VAUCANSON,Jacques Vaucanson,inventeur d'automates,Jacques de Vaucanson rectangular.jpg,,Paris,Grenoble,ingénieur,royaume de France,masculin,1709-02-24T00:00:00Z,1782-11-21T00:00:00Z
ALPHONSE BAUDIN Z,ALPHONSE BAUDIN Z,,,,,,,,,,
EUGENE NAPOLEON ST P. FOURIER,EUGENE NAPOLEON ST P. FOURIER,,,,,,,,,,
DAUMESNIL S,DAUMESNIL S,,,,,,,,,,
CHATEAU DES RENTIERS,CHATEAU DES RENTIERS,,,,,,,,,,
AUGUSTE PERRET,Auguste Perret,,Théo van Rysselberghe - Portrait of Auguste Perret.jpg,,Paris,Bruxelles,architecte,France,masculin,1874-02-12T00:00:00Z,1954-02-25T00:00:00Z
CHATEAU DES RENTIERS N,CHATEAU DES RENTIERS N,,,,,,,,,,
ST ANGE,ST ANGE,,,,,,,,,,
VAUVENARGUES P,VAUVENARGUES P,,,,,,,,,,
LA ROUGETTE,LA ROUGETTE,,,,,,,,,,
LES SINGES VERTS,LES SINGES VERTS,,,,,,,,,,
LES GRAVIERS,LES GRAVIERS,,,,,,,,,,
HAMEAU DE BEAUVAIS,HAMEAU DE BEAUVAIS,,,,,,,,,,
JACQUES BOURGOIN,JACQUES BOURGOIN,,,,,,,,,,
A ET W GALIGNANI,A ET W GALIGNANI,,,,,,,,,,
LES ALLIES,LES ALLIES,,,,,,,,,,
PONT DE L'ARC (DU),PONT DE L'ARC (DU),,,,,,,,,,
MISTRAL CORSY,MISTRAL CORSY,,,,,,,,,,
PIERRE GILLES DE GENNES,Pierre-Gilles de Gennes,physique,Pierre-Gilles de Gennes.jpg,,Orsay,16e arrondissement de Paris,physicien ou physicienne,France,masculin,1932-10-24T00:00:00Z,2007-05-18T00:00:00Z
CAMPRA,André Campra,,André Campra.jpg,,Versailles,Aix-en-Provence,compositeur ou compositrice,France,masculin,1660-12-04T00:00:00Z,1744-06-29T00:00:00Z
ROI RENE,René d’Anjou,,Renedesanjou.jpg,moyen français,Aix-en-Provence,Angers,monarque,royaume de France,masculin,1409-01-16T00:00:00Z,1480-07-10T00:00:00Z
ECOLE DU P'TIT BOIS,DU P'TIT BOIS,,,,,,,,,,
G. BRUCKER,G. BRUCKER,,,,,,,,,,
GAIMARD,Joseph Paul Gaimard,botanique,Joseph Paul Gaimard.jpg,,Paris,Saint-Zacharie,explorateur ou exploratrice,France,masculin,1793-01-31T00:00:00Z,1858-12-10T00:00:00Z
VASSALE (LA),VASSALE (LA),,,,,,,,,,
J. D'ARC,J. D'ARC,,,,,,,,,,
DOURD'HAL,DOURD'HAL,,,,,,,,,,
LES PETITS CHENES,LES PETITS CHENES,,,,,,,,,,
