UAI,Secteur,Nombre d'élèves,Latitude WGS84,Longitude WGS84,Niveau
0660663M,PUBLIC,115,42.6503770538982,2.5866019021542,École
0660232U,PUBLIC,147,42.5663044786999,2.90191746562854,École
0660234W,PUBLIC,177,42.6827830820794,2.94005159485536,École
0660238A,PUBLIC,233,42.6969074873893,3.02793248552885,École
0660490Z,PUBLIC,235,42.7064324630698,3.00597971931757,École
0660489Y,PUBLIC,423,42.6533277093875,2.83094809037316,École
0660148C,PUBLIC,17,42.4405584361863,3.16345649145875,École
0660149D,PUBLIC,30,42.4409955956398,3.16558754153939,École
0660121Y,PUBLIC,86,42.6584891340013,2.67808953239712,École
0660242E,PUBLIC,142,42.6249341156802,2.95322006468018,École
0660894N,PUBLIC,86,42.6061179348924,2.96648961699625,École
0660246J,PUBLIC,85,42.5997400405228,2.9754470649399,École
0660578V,PUBLIC,86,42.5248116363638,2.93466944743412,École
0660111M,PUBLIC,410,42.6820047476773,2.8085949808048,École
0660361J,PUBLIC,89,42.621194771573,2.77230998684518,École
0660286C,PUBLIC,57,42.6397716332644,2.48359469156876,École
0660118V,PUBLIC,149,42.692059187651,2.69907605146102,École
0660155K,PUBLIC,76,42.5171843268237,2.88005052683149,École
0660115S,PUBLIC,124,42.6910470075503,2.66638589264517,École
0660767A,PUBLIC,115,42.4166017836305,1.98292287573017,École
0660873R,PRIVE,8,42.4157131258678,1.96559266656047,École
0660307A,PUBLIC,315,42.6958148465297,2.8887328577497,École
0660495E,PUBLIC,179,42.6951986653233,2.92573900762571,École
0660469B,PUBLIC,130,42.7131673000359,2.88256443785484,École
0660567H,PUBLIC,232,42.7052864601704,2.88081143835646,École
0660572N,PUBLIC,118,42.6888069735878,2.91151350677841,École
0660207S,PUBLIC,85,42.7062966378028,2.89319304250736,École
0660512Y,PUBLIC,152,42.7100290274485,2.89799587466938,École
0660932E,PUBLIC,105,42.7204684324285,2.88366790307675,École
0660215A,PUBLIC,132,42.6966087020749,2.87331831706036,École
0660224K,PUBLIC,158,42.6845687170844,2.90227648244186,École
0660309C,PUBLIC,197,42.6952671396477,2.88106230793684,École
0660580X,PUBLIC,83,42.7232014803286,2.88095890056919,École
